micro_genre,macro_genre
queercore,ROCK
quiet storm,R&B
r&b,R&B
r&b brasileiro,R&B
radio symphony,CLASSICAL
ragtime,JAZZ
ranchera,LATIN
rap,HIP HOP
rap conciencia,HIP HOP
rap conscient,HIP HOP
rap cristiano,HIP HOP
rap kreyol,HIP HOP
rap latina,HIP HOP
rap metal,HIP HOP
rap rock,HIP HOP
rare groove,JAZZ
reading,OTHER
reading indie,ROCK
recorder,CLASSICAL
red dirt,COUNTRY
redneck,COUNTRY
reggae,REGGAE
reggae en espanol,REGGAE
reggae fusion,JAZZ
reggae rock,ROCK
reggaeton,LATIN
reggaeton flow,LATIN
regional mexican,LATIN
regional mexican pop,POP
relaxative,OTHER
renaissance,CLASSICAL
retro electro,ELECTRONIC
retro soul,R&B
reunion pop,POP
rhode island indie,ROCK
rhythm and blues,BLUES
rhythm game,OTHER
riddim,ELECTRONIC
riot grrrl,ROCK
rochester ny indie,ROCK
rock,ROCK
rock alternativo brasileiro,ROCK
rock cristiano,ROCK
rock en espanol,ROCK
rock gaucho,ROCK
rock gospel brasileiro,ROCK
rock nacional brasileiro,ROCK
rock steady,ROCK
rock-and-roll,ROCK
rockabilly,ROCK
romanian pop,POP
romantico,POP
roots americana,COUNTRY
roots reggae,FOLK
roots rock,ROCK
roots worship,FOLK
rosario indie,ROCK
rosary,OTHER
rumba,LATIN
russian ccm,R&B
russian contemporary classical,CLASSICAL
russian folk,FOLK
russian punk,ROCK
russian rock,ROCK
"s music"", ",OTHER
"s music"", ""children",OTHER
sacramento indie,ROCK
salsa,LATIN
salsa choke,LATIN
salsa international,LATIN
salsa peruana,LATIN
samba,LATIN
san diego indie,ROCK
san diego rap,HIP HOP
san marcos tx indie,ROCK
sandalwood,CLASSICAL
saskatchewan indie,ROCK
scandinavian r&b,R&B
scandipop,POP
schlager,POP
sci-fi metal,METAL
scorecore,METAL
scottish americana,COUNTRY
scottish electronic,ELECTRONIC
scottish indie,ROCK
scottish new wave,ROCK
scottish rock,ROCK
scottish singer-songwriter,FOLK
screamo,ROCK
screamo punk,ROCK
screamocore,ROCK
seattle indie,ROCK
sertanejo,LATIN
sertanejo pop,POP
sertanejo tradicional,LATIN
sertanejo universitario,LATIN
shaabi,FOLK
shamanic,NEW AGE
sheffield indie,ROCK
shibuya-kei,POP
shimmer pop,POP
shiver pop,POP
shoegaze,ROCK
show tunes,POP
shred,OTHER
singer-songwriter,FOLK
sitar,CLASSICAL
ska,REGGAE
ska mexicano,LATIN
ska punk,ROCK
ska revival,REGGAE
skate punk,ROCK
skinhead oi,ROCK
skinhead reggae,REGGAE
slam poetry,OTHER
slayer,OTHER
slc indie,ROCK
sleaze rock,ROCK
sleep,NEW AGE
slow core,METAL
slow game,OTHER
sludge metal,METAL
small room,OTHER
smooth jazz,JAZZ
smooth saxophone,OTHER
smooth soul,R&B
soca,REGGAE
socal pop punk,ROCK
soft rock,ROCK
solipsynthm,OTHER
song poem,OTHER
soul,R&B
soul blues,R&B
soul flow,R&B
soul jazz,R&B
sound team,OTHER
soundtrack,CLASSICAL
south african alternative,ROCK
south african hip hop,HIP HOP
south african jazz,JAZZ
south african pop,POP
south african rock,ROCK
south carolina indie,ROCK
south dakota indie,ROCK
southampton indie,ROCK
southern gospel,R&B
southern hip hop,HIP HOP
southern rock,ROCK
southern soul,R&B
southern soul blues,R&B
space age pop,POP
space rock,ROCK
spacewave,NEW AGE
spanish folk,LATIN
spanish invasion,LATIN
spanish new wave,ROCK
spanish pop,POP
spanish pop rock,POP
speed metal,METAL
spiritual jazz,JAZZ
springfield mo indie,ROCK
st petersburg fl indie,ROCK
steampunk,ROCK
steel guitar,OTHER
steelpan,REGGAE
stl indie,ROCK
stomp and flutter,OTHER
stomp and holler,ROCK
stomp and whittle,OTHER
stomp pop,POP
stoner metal,METAL
stoner rock,ROCK
straight edge,ROCK
street punk,ROCK
stride,JAZZ
string band,FOLK
strut,OTHER
sufi,NEW AGE
sunshine pop,POP
surf music,ROCK
swamp blues,BLUES
swamp pop,POP
swedish alternative rock,ROCK
swedish americana,COUNTRY
swedish black metal,METAL
swedish death metal,METAL
swedish doom metal,METAL
swedish electronic,ELECTRONIC
swedish electropop,POP
swedish hard rock,ROCK
swedish hardcore,ROCK
swedish indie pop,POP
swedish indie rock,ROCK
swedish metal,METAL
swedish pop,POP
swedish post-hardcore,ROCK
swedish prog,ROCK
swedish rockabilly,ROCK
swedish singer-songwriter,FOLK
swedish soul,R&B
swedish synthpop,POP
swedish tropical house,LATIN
swing,JAZZ
swiss metal,METAL
swiss rock,ROCK
symphonic black metal,METAL
symphonic death metal,METAL
symphonic metal,METAL
symphonic rock,ROCK
synthpop,POP
tagalog worship,R&B
tahitian,FOLK
talent show,POP
tampa indie,ROCK
tech house,ELECTRONIC
technical brutal death metal,METAL
technical death metal,METAL
technical deathcore,METAL
technical groove,OTHER
technical thrash,METAL
teen pop,POP
tejano,LATIN
texas blues,BLUES
texas country,COUNTRY
texas pop punk,ROCK
texas punk,ROCK
theme,OTHER
thrash core,METAL
thrash metal,METAL
tico,LATIN
tin pan alley,JAZZ
tipico,LATIN
tollywood,CLASSICAL
toronto indie,ROCK
toronto rap,HIP HOP
tracestep,ELECTRONIC
traditional blues,BLUES
traditional british folk,FOLK
traditional country,COUNTRY
traditional folk,FOLK
traditional rockabilly,ROCK
traditional ska,FOLK
traditional soul,R&B
traditional swing,JAZZ
trance,ELECTRONIC
trancecore,ELECTRONIC
transpop,POP
trap brasileiro,HIP HOP
trap latino,HIP HOP
trap music,HIP HOP
trap queen,HIP HOP
trap soul,HIP HOP
traprun,HIP HOP
trash rock,ROCK
triangle indie,ROCK
tribal house,ELECTRONIC
tribute,OTHER
trinidadian reggae,REGGAE
trip hop,ELECTRONIC
trival,ELECTRONIC
tropical,LATIN
tropical house,LATIN
tucson indie,ROCK
tulsa indie,ROCK
turntablism,HIP HOP
twee pop,POP
tzadik,AVANT-GARDE
uk alternative pop,POP
uk americana,COUNTRY
uk contemporary r&b,R&B
uk dance,ELECTRONIC
uk doom metal,METAL
uk experimental electronic,ELECTRONIC
uk funky,ELECTRONIC
uk garage,ROCK
uk hip hop,HIP HOP
uk house,ELECTRONIC
uk metalcore,METAL
uk pop,POP
uk pop punk,ROCK
uk post-hardcore,ROCK
uk post-punk,ROCK
uk reggae,REGGAE
uk worship,R&B
underground hip hop,HIP HOP
underground power pop,POP
underground rap,HIP HOP
uplifting trance,ELECTRONIC
uptempo hardcore,ELECTRONIC
urban contemporary,R&B
usbm,METAL
vallenato,LATIN
vancouver indie,ROCK
vancouver metal,METAL
vancouver punk,ROCK
vapor pop,POP
vapor soul,R&B
vapor trap,HIP HOP
vapor twitch,ELECTRONIC
vaporwave,ELECTRONIC
vaudeville,OTHER
vegan straight edge,ROCK
vegas indie,ROCK
vermont indie,ROCK
victoria bc indie,ROCK
video game music,CLASSICAL
viking metal,METAL
vintage dutch pop,POP
vintage french electronic,ELECTRONIC
vintage hollywood,OTHER
vintage italian soundtrack,CLASSICAL
vintage jazz,JAZZ
vintage swedish pop,POP
violin,CLASSICAL
viral pop,POP
viral trap,HIP HOP
virgin islands reggae,REGGAE
virginia metal,METAL
virginia punk,ROCK
visual kei,ROCK
vocal harmony group,POP
vocal house,ELECTRONIC
vocal jazz,JAZZ
vocal trance,ELECTRONIC
vogue,OTHER
volksmusik,FOLK
washington indie,ROCK
welsh indie,ROCK
welsh metal,METAL
welsh rock,ROCK
west coast rap,HIP HOP
west coast reggae,REGGAE
west coast trap,HIP HOP
western mass indie,ROCK
wisconsin indie,ROCK
witch house,ELECTRONIC
wonky,ELECTRONIC
workout product,OTHER
world,FOLK
world fusion,JAZZ
world meditation,NEW AGE
world worship,R&B
worship,R&B
wrestling,OTHER
xhosa,FOLK
yacht rock,ROCK
ye ye,POP
zapstep,ELECTRONIC
zolo,AVANT-GARDE
zydeco,FOLK
